ym,Mkt_RF,SMB,HML,RMW,CMA,MOM,RF
200706,-0.082686,-0.095711,-0.101021,0.137835,-0.068435,-0.0114,0.002551
200707,0.178672,0.077166,0.015176,-0.024034,-0.014268,-0.0421,0.002620
200708,0.167538,-0.017644,0.000638,-0.014557,-0.004569,0.0453,0.002682
200709,0.047084,-0.016348,0.043304,-0.007679,-0.005285,0.0372,0.002934
200710,0.054572,-0.082553,-0.039180,0.096662,-0.066026,0.0429,0.003250
200711,-0.136186,0.086406,0.006309,-0.052126,0.039963,-0.1291,0.003545
200712,0.081914,0.035210,0.014845,-0.001391,0.035277,0.0343,0.003643
200801,-0.158398,0.057571,-0.022023,-0.005340,0.017485,-0.0169,0.003731
200802,0.015073,0.076658,0.028859,-0.024958,0.022402,-0.0198,0.003753
200803,-0.194182,0.017988,-0.032729,0.007599,-0.011146,0.0196,0.003751
200804,0.051234,-0.077362,-0.018334,0.044865,-0.033710,-0.0627,0.003745
200805,-0.084429,0.047013,0.037915,-0.010012,0.017534,-0.0816,0.003743
200806,-0.216319,-0.021156,-0.015227,0.021491,-0.010619,-0.0485,0.003732
200807,0.019857,0.075467,-0.005195,-0.017779,0.026949,-0.0329,0.003682
200808,-0.150660,-0.047295,0.040237,0.025134,-0.061380,-0.0360,0.003604
200809,-0.071351,-0.050792,0.029081,0.009067,0.022528,-0.0402,0.003591
200810,-0.262438,0.015563,0.037405,-0.002491,0.030995,-0.0362,0.003522
200811,0.112747,0.071373,-0.022452,-0.031282,0.010444,0.0201,0.003063
200812,-0.005989,0.071821,-0.052816,-0.017321,0.002111,-0.0136,0.001908
200901,0.110690,0.034919,-0.026644,-0.017351,-0.038604,-0.1000,0.001256
200902,0.050503,0.035044,-0.023567,-0.035975,0.027699,-0.0407,0.001088
200903,0.163015,0.054551,-0.060807,-0.036815,0.008379,-0.0062,0.001041
200904,0.045911,0.031713,0.010806,0.001629,0.002524,0.0066,0.001013
200905,0.051924,0.035742,-0.001486,-0.006611,-0.005345,-0.0097,0.001010
200906,0.136025,-0.047987,0.005105,0.003172,-0.023442,-0.0435,0.001043
200907,0.164515,-0.041151,0.018971,-0.020553,0.027252,0.0502,0.001227
200908,-0.219901,0.055871,-0.023969,-0.007287,0.004361,-0.0654,0.001435
200909,0.050538,-0.009692,-0.015037,0.021335,-0.030669,-0.0096,0.001459
200910,0.086467,0.027422,-0.002555,-0.018297,0.010805,0.0437,0.001481
200911,0.074081,0.068013,0.002786,-0.005308,0.027195,0.0129,0.001499
200912,0.030193,0.013217,0.022383,-0.006871,0.002585,-0.0401,0.001516
201001,-0.090104,0.062178,-0.019607,-0.018437,0.008036,0.0207,0.001553
201002,0.024046,0.054578,-0.020488,-0.025620,0.021927,0.0480,0.001604
201003,0.023421,0.029262,-0.005929,-0.002530,0.002891,-0.0047,0.001619
201004,-0.079830,0.007239,-0.024437,0.013467,0.004762,0.0123,0.001616
201005,-0.085229,0.011311,-0.004815,0.017362,-0.042574,0.0177,0.001646
